bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Genomic length of genes,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
251,0.05,0,NonL-TADs,249,2R,3827650,3844049,16400,20461,40.75,Null,0.159579,0.0760796,2182.81,0.05,0.010475,1449,1279,1476,1448,4.323451889,4.465046278,5.394033481,5.57068975,3,,3
252,0.06,0,NonL-TADs,250,2R,3844050,3877249,33200,33989,51.55,Active,0.168161,0.0795379,2083.21,0.06,0.015084,17015,16326,17253,20082,31.80924449,34.32046947,32.5651931,35.1360975,3,,3
253,0.06,0,NonL-TADs,251,2R,3877250,3902649,25400,14105,47.15,PcG,0.19208,0.0815371,3761.1,0.06,0.015084,0,0,0,3,0,0.006645438081,0,0.003690311186,3,,4
254,0.08,0,NonL-TADs,252,2R,3902650,3955049,52400,23674,60.03,PcG,0.255366,0.0867342,4182.51,0.08,0.026816,46,43,32,50,0.121907797,0.1082225246,0.05507719822,0.04889427569,4,,5
255,0.09,1,L-TADs,253,2R,3955050,4044249,89200,74477,71.67,Active,0.375559,0.0949016,11153.5,0.09,0.033939,39254,30863,37713,39504,30.52911899,32.39412112,25.49010308,27.04727532,5,2,
256,0.05,0,NonL-TADs,254,2R,4044250,4062349,18100,13579,42.12,Active,0.376201,0.0903907,1995.61,0.05,0.010475,6827,6410,6665,6917,31.61075731,31.25153757,23.71505378,23.44555959,5,,6
257,0.15,2,L-TADs,255,2R,4062350,4487249,424900,188960,120.59,Null,0.530009,0.104068,22330.2,0.15,0.094275,16249,12950,15762,16301,5.01084787,5.301633799,2.228406245,2.357723518,6,4,
258,0.06,0,NonL-TADs,256,2R,4487250,4520149,32900,30063,51.4,Active,0.291845,0.0907804,3539.28,0.06,0.015084,9011,7549,8848,9316,17.8624545,18.87794115,16.32215713,17.25007735,4,,5
259,0.06,0,NonL-TADs,257,2R,4520150,4553349,33200,15589,51.55,PcG,0.28226,0.0897121,2140.11,0.06,0.015084,1736,1555,1830,1912,6.845776956,7.499995066,3.214422198,3.521609129,4,,5
260,0.08,0,NonL-TADs,258,2R,4553350,4621349,68000,50655,65.47,Active,0.314437,0.0911394,8667.86,0.08,0.026816,11948,11982,13247,14388,15.31910874,17.04561209,11.4116096,12.69772765,4,,5
261,0.11,1,L-TADs,259,2R,4621350,4779049,157700,114112,86.66,Null,0.501376,0.0940458,12405.1,0.11,0.050699,269,248,317,354,0.1469170995,0.1837243225,0.1063094741,0.132943246,6,4,
262,0.08,0,NonL-TADs,260,2R,4779050,4836449,57400,55860,61.88,Active,0.435895,0.0828619,6214.69,0.08,0.026816,57541,48353,55176,56200,61.47287742,62.29685706,59.8236051,60.62547797,5,,6
263,0.11,1,L-TADs,261,2R,4836450,4982849,146400,113167,84.54,Null,0.576859,0.10164,14700.5,0.11,0.050699,9058,8538,9629,9528,5.042051417,5.289116678,3.897498857,4.088479967,6,5,
264,0.07,1,L-TADs,262,2R,4982850,5025449,42600,37969,56.02,Active,0.463923,0.0760578,4773.94,0.07,0.020531,20062,17292,19211,20417,31.90223246,32.60982339,28.43417521,29.0648447,5,3,
265,0.08,0,NonL-TADs,263,2R,5025450,5078349,52900,44103,60.22,Active,0.371555,0.0759491,4182.2,0.08,0.026816,13291,11204,13203,13063,18.01036156,18.60806692,15.01533036,15.51364036,5,,6
266,0.12,0,NonL-TADs,264,2R,5078350,5287949,209600,141620,95.28,PcG,0.224537,0.0715688,15382,0.12,0.060336,24961,22024,24937,26445,10.75840182,11.33605296,7.269107187,7.659407541,3,,4
267,0.06,1,L-TADs,265,2R,5287950,5313349,25400,19661,47.15,Active,0.226385,0.0629936,1496.87,0.06,0.015084,2595,2462,2659,2599,8.340661007,8.355846056,6.456131341,6.467885406,3,1,
268,0.05,0,NonL-TADs,266,2R,5313350,5332849,19500,14876,43.17,Active,0.221538,0.0599472,1472.9,0.05,0.010475,7277,5326,7981,7717,27.47267108,32.97111291,20.95812589,25.15273209,3,,4
269,0.09,0,NonL-TADs,267,2R,5332850,5429149,96300,76051,73.52,Null,0.186445,0.0576349,7821.96,0.09,0.033939,576,406,660,657,0.4187161178,0.5410735416,0.3306726841,0.4273020136,3,,4
270,0.07,0,NonL-TADs,268,2R,5429150,5480449,51300,36513,59.6,Active,0.183443,0.0596809,5483.06,0.07,0.020531,45537,41796,44441,43402,77.56110392,75.16836324,55.2044559,53.50141222,3,,4
271,0.09,0,NonL-TADs,269,2R,5480450,5580949,100500,105925,74.58,Null,0.227609,0.0549342,7986.27,0.09,0.033939,23848,20224,21600,22189,13.49203337,12.91641548,14.22033467,13.61364487,3,,4
272,0.1,1,L-TADs,270,2R,5580950,5708249,127300,109210,80.69,Null,0.357576,0.0553992,7314.14,0.1,0.0419,2014,1795,2036,1854,1.130997606,1.112916665,0.9702768932,0.9547653498,5,2,
273,0.07,0,NonL-TADs,271,2R,5708250,5751849,43600,39315,56.46,Active,0.352229,0.0603485,3702.19,0.07,0.020531,17737,16698,17396,18885,28.40239266,28.83343741,25.61101072,25.99969248,5,,6
274,0.09,1,L-TADs,272,2R,5751850,5844149,92300,94020,72.49,Active,0.373801,0.0666916,12601.5,0.09,0.033939,12324,10196,12586,12867,7.767142254,8.458516138,7.911882066,8.616139624,5,2,
275,0.08,0,NonL-TADs,273,2R,5844150,5913049,68900,47156,65.76,PcG,0.281179,0.0638778,7534.2,0.08,0.026816,18209,17030,16585,17923,24.23258454,22.86431959,16.58507629,15.64861908,4,,5
276,0.06,0,NonL-TADs,274,2R,5913050,5935649,22600,24840,45.35,Active,0.231152,0.0603643,2276.61,0.06,0.015084,8147,8629,8979,10104,21.90029404,24.00327553,24.07094265,26.38236125,3,,4
277,0.07,0,NonL-TADs,275,2R,5935650,5986749,51100,45540,59.52,Active,0.226919,0.0577197,6362.96,0.07,0.020531,18412,17203,18080,18200,25.36022149,24.89142177,22.60087058,22.1830792,3,,4
278,0.06,0,NonL-TADs,276,2R,5986750,6010949,24200,22604,46.4,Active,0.250626,0.0511019,2061.21,0.06,0.015084,34179,29633,34218,32654,91.54406173,92.4345785,85.50669303,86.33847985,4,,5
279,0.14,1,L-TADs,277,2R,6010950,6315649,304700,267772,107.94,Null,0.451473,0.0415825,18287.2,0.14,0.082124,17402,12539,15383,14016,3.625886946,3.430384864,3.186448964,3.014640682,5,3,
280,0.07,0,NonL-TADs,278,2R,6315650,6365549,49900,55410,59.05,Active,0.275888,0.0428706,4121.65,0.07,0.020531,9119,7336,8864,8555,9.629923927,9.822239524,10.69326823,10.90681948,4,,5
281,0.09,0,NonL-TADs,279,2R,6365550,6446649,81100,122241,69.43,Null,0.283398,0.036673,7281.25,0.09,0.033939,15696,12686,16117,16077,7.529033363,8.228742974,11.34841637,12.40307978,4,,5
282,0.13,1,L-TADs,280,2R,6446650,6696549,249900,122492,101.04,Null,0.578494,0.0373329,14114.7,0.13,0.070811,6831,6057,6859,7212,3.411857795,3.589158925,1.672370088,1.759276731,6,5,
283,0.08,0,NonL-TADs,281,2R,6696550,6762049,65500,63535,64.66,Active,0.597226,0.0479298,6531.71,0.08,0.026816,16084,15214,16098,16096,15.97411004,15.83205745,15.49488674,15.35709572,6,,6
284,0.06,1,L-TADs,282,2R,6762050,6788049,26000,27819,47.52,Active,0.650192,0.0440059,1843.36,0.06,0.015084,9560,8004,8971,8631,20.47363865,19.76951221,21.9060059,21.1526177,6,5,
285,0.12,2,L-TADs,283,2R,6788050,7020249,232200,128522,98.59,Null,0.737765,0.0354349,13414,0.12,0.060336,919,590,863,796,0.3807368254,0.4033149888,0.2107366851,0.2232336304,6,6,
286,0.07,1,L-TADs,284,2R,7020250,7056749,36500,10332,53.21,Null,0.596094,0.0311774,1051.63,0.07,0.020531,2424,1958,2039,2014,13.75311567,12.25653353,3.893073729,3.469438479,6,5,
287,0.08,0,NonL-TADs,285,2R,7056750,7111049,54300,52213,60.74,Null,0.505904,0.0315411,3724.62,0.08,0.026816,3799,2702,4015,3815,4.037519555,4.685528313,3.882339015,4.505441801,6,,6
288,0.08,0,NonL-TADs,286,2R,7111050,7166549,55500,26435,61.19,Null,0.361246,0.0324304,3565.45,0.08,0.026816,165,192,192,183,0.4379273017,0.4432282208,0.2085875355,0.2111123967,5,,6
289,0.06,0,NonL-TADs,287,2R,7166550,7194849,28300,24965,48.88,Active,0.367644,0.0377913,1224.24,0.06,0.015084,7728,7188,7639,7716,19.37465261,19.21735894,17.09145591,16.95269844,5,,6
290,0.07,0,NonL-TADs,288,2R,7194850,7242949,48100,28659,58.34,Null,0.474376,0.0345993,3657.96,0.07,0.020531,275,174,243,222,0.5080406096,0.5069526201,0.3027013686,0.3020531214,5,,6
291,0.09,1,L-TADs,289,2R,7242950,7338949,96000,70189,73.45,Null,0.602676,0.0365712,4616.8,0.09,0.033939,12932,12430,11736,11806,11.71730037,10.47972176,8.56693329,7.662095733,6,5,
292,0.11,1,L-TADs,290,2R,7338950,7505049,166100,93996,88.18,PcG,0.686395,0.0545579,8172.55,0.11,0.050699,17364,11321,15991,15913,9.895975275,10.60501325,5.600133004,6.001377639,6,6,
293,0.06,0,NonL-TADs,291,2R,7505050,7538049,33000,21739,51.45,Active,0.548116,0.0577774,1228.69,0.06,0.015084,2095,1847,2118,2333,5.880173998,6.397252362,3.873609168,4.214238457,6,,6
294,0.14,2,L-TADs,292,2R,7538050,7877149,339100,225087,111.86,Null,0.698294,0.0728191,18515.1,0.14,0.082124,292731,242072,275407,278275,77.04714347,76.85735665,51.14217158,51.01619533,6,6,
295,0.08,1,L-TADs,293,2R,7877150,7931949,54800,35689,60.93,Active,0.539168,0.0603258,4398.29,0.08,0.026816,6071,5836,6205,6421,10.81884987,11.05367922,7.04587469,7.19880945,6,4,
296,0.09,0,NonL-TADs,294,2R,7931950,8026549,94600,60754,73.09,Null,0.407648,0.0516253,7804.58,0.09,0.033939,1718,1587,1765,1784,1.764045192,1.825183668,1.132904879,1.172169224,5,,6
297,0.08,1,L-TADs,295,2R,8026550,8088449,61900,62810,63.45,Active,0.357287,0.0533969,5715.94,0.08,0.026816,76162,72115,76437,73606,76.55227772,74.63841308,77.67768277,75.73568216,5,2,
298,0.1,0,NonL-TADs,296,2R,8088450,8207049,118600,51459,78.81,Null,0.200843,0.04553,9691.82,0.1,0.0419,21328,16449,20070,18688,23.80560613,23.53290099,10.32894339,10.21062017,3,,4
299,0.05,0,NonL-TADs,297,2R,8207050,8225549,18500,15549,42.42,Active,0.131272,0.0455457,1690.84,0.05,0.010475,5614,4329,5531,5647,20.73614857,22.46141403,17.42845265,18.87851496,2,,3
300,0.09,0,NonL-TADs,298,2R,8225550,8313649,88100,59595,71.38,Null,0.0910531,0.0439892,7377.98,0.09,0.033939,6093,5174,5968,6252,6.130721531,6.406736071,4.147109531,4.333818799,2,,2
301,0.04,0,NonL-TADs,299,2R,8313650,8324749,11100,9202,35.78,Active,0.0759694,0.0447251,1860.28,0.04,0.006704,3032,2524,2896,3065,19.57911819,20.24008558,16.23126537,16.77921329,1,,2
302,0.05,0,NonL-TADs,300,2R,8324750,8340049,15300,16197,39.82,Null,0.0681281,0.044133,2382.47,0.05,0.010475,631,464,619,706,2.192263014,2.555975859,2.320789807,2.705826209,1,,2
303,0.08,0,NonL-TADs,301,2R,8340050,8396249,56200,65947,61.44,Active,0.0634452,0.0517064,5279.14,0.08,0.026816,7285,6382,7117,7148,6.720340384,6.758529033,7.885876998,7.930688864,1,,1
304,0.09,0,NonL-TADs,302,2R,8396250,8500949,104700,100935,75.6,Active,0.0541582,0.0547349,15487.1,0.09,0.033939,18397,15380,18263,18271,10.85156576,11.30917407,10.4613447,10.90249746,1,,1
305,0.06,0,NonL-TADs,303,2R,8500950,8523349,22400,15036,45.22,Active,0.0431337,0.0462359,2227.34,0.06,0.015084,2122,1870,2074,1972,8.609369263,8.40754137,5.779039118,5.643562145,1,,1
306,0.1,0,NonL-TADs,304,2R,8523350,8644149,120800,98527,79.3,Null,0.0351866,0.0392234,9491.54,0.1,0.0419,17659,16748,16792,17170,11.32412535,10.76994412,9.236192866,8.784191093,1,,1
307,0.1,0,NonL-TADs,305,2R,8644150,8756049,111900,55032,77.3,Null,0.0308637,0.0373273,4415.59,0.1,0.0419,16149,15767,16199,16187,18.80642645,18.38727903,9.248929942,9.042794814,1,,1
308,0.07,0,NonL-TADs,306,2R,8756050,8802749,46700,26598,57.76,PcG,0.0326907,0.0418039,3484.43,0.07,0.020531,29118,29083,29824,29890,70.95689205,70.14595523,40.41352066,39.95165133,1,,1
309,0.1,0,NonL-TADs,307,2R,8802750,8931949,129200,57374,81.09,PcG,0.0355186,0.0467432,6669.26,0.1,0.0419,19730,16588,20032,20626,20.52673687,22.14146404,9.115332825,9.832386672,1,,1
310,0.09,0,NonL-TADs,308,2R,8931950,9019949,88000,37560,71.35,Null,0.0326616,0.0385866,4431.05,0.09,0.033939,3,2,10,17,0.004316756391,0.02246020067,0.001842470114,0.009586422013,1,,1
311,0.07,0,NonL-TADs,309,2R,9019950,9056749,36800,37058,53.35,Active,0.0407153,0.0432968,2511.81,0.07,0.020531,15228,12744,14440,15164,24.47680131,24.95995914,24.64840497,25.13495016,1,,1
312,0.06,0,NonL-TADs,310,2R,9056750,9085449,28700,36936,49.11,Null,0.0449461,0.0392139,3772.08,0.06,0.015084,3244,2825,3347,3501,5.328198499,5.792810767,6.857224382,7.455165801,1,,1
313,0.07,0,NonL-TADs,311,2R,9085450,9128749,43300,45344,56.33,Active,0.0573178,0.0431828,4285.85,0.07,0.020531,13466,12563,12566,13281,18.61447426,17.81007572,19.49318062,18.65081001,1,,1
314,0.12,1,L-TADs,312,2R,9128750,9318949,190200,86970,92.25,Null,0.0863523,0.0376737,11361.2,0.12,0.060336,993,903,1080,1010,0.7069390677,0.7508484138,0.3232517914,0.3433295823,1,1,
315,0.05,0,NonL-TADs,313,2R,9318950,9338649,19700,16325,43.32,Active,0.0585882,0.0401186,1642.9,0.05,0.010475,3399,2507,3093,3231,11.73149534,12.10358774,9.721657944,10.03000355,1,,1
316,0.06,0,NonL-TADs,314,2R,9338650,9370049,31400,29586,50.61,Null,0.0478512,0.038637,3707.93,0.06,0.015084,878,900,996,1049,1.948761197,2.15964571,1.836179898,2.034881464,1,,1
317,0.06,0,NonL-TADs,315,2R,9370050,9395249,25200,30484,47.03,Active,0.0416887,0.0426376,2280.03,0.06,0.015084,16634,15500,16357,17261,34.18266795,34.45683407,41.35017658,41.68183054,1,,1
318,0.07,0,NonL-TADs,316,2R,9395250,9443849,48600,43270,58.54,Active,0.0353653,0.042208,5477.5,0.07,0.020531,2476,2152,2142,2307,3.468323312,3.212557888,3.087949583,2.860234153,1,,1
319,0.05,0,NonL-TADs,317,2R,9443850,9463849,20000,4555,43.54,Null,0.0275507,0.0338462,1724.09,0.05,0.010475,7,18,24,11,0.1779773546,0.2400795203,0.04053434251,0.05467811074,1,,1
320,0.05,0,NonL-TADs,318,2R,9463850,9479249,15400,12771,39.91,Null,0.0253911,0.0324741,0,0.05,0.010475,1108,704,1085,1120,4.60093829,5.394598664,3.815492396,4.473663606,1,,1
321,0.12,0,NonL-TADs,319,2R,9479250,9710549,231300,195533,98.47,Null,0.0219978,0.0338661,13481.6,0.12,0.060336,3690,3030,3553,3493,1.114454467,1.125895354,0.9421211645,0.9517928931,1,,1
322,0.07,0,NonL-TADs,320,2R,9710550,9748549,38000,31452,53.93,Active,0.0242257,0.0412488,2779.81,0.07,0.020531,11426,11330,11149,11757,23.46177027,22.7549791,19.4189368,18.83393691,1,,1
323,0.09,0,NonL-TADs,321,2R,9748550,9828249,79700,80033,69.03,Null,0.0218341,0.0385554,7113.38,0.09,0.033939,6899,6093,7625,8304,5.264050358,6.218632143,5.286044446,6.244614634,1,,1
324,0.06,0,NonL-TADs,322,2R,9828250,9850049,21800,24544,44.81,Active,0.0237049,0.0439412,1884.4,0.06,0.015084,41811,37509,42129,45535,104.797394,111.5967103,117.9884054,125.6435623,1,,1
325,0.06,0,NonL-TADs,323,2R,9850050,9879049,29000,89596,49.28,Active,0.0238187,0.0442304,1769.72,0.06,0.015084,20109,16971,20422,20482,13.4203618,14.26437049,41.46243918,44.07001856,1,,1
326,0.11,0,NonL-TADs,324,2R,9879050,10033449,154400,90343,86.05,Null,0.0229249,0.0418488,11859.9,0.11,0.050699,5313,2958,4548,3865,2.968770547,2.909590248,1.737096098,1.702468341,1,,1
327,0.06,0,NonL-TADs,325,2R,10033450,10061849,28400,32425,48.94,Active,0.0282978,0.0476938,3157.43,0.06,0.015084,22326,18892,21312,21078,41.22114491,40.84687943,47.06322619,46.63591779,1,,1
328,0.07,0,NonL-TADs,326,2R,10061850,10104549,42700,27222,56.07,PcG,0.0338036,0.0512497,4046.12,0.07,0.020531,92816,93551,92848,93027,222.0046671,213.3420203,141.5318747,136.0092852,1,,1
329,0.08,0,NonL-TADs,327,2R,10104550,10158549,54000,51907,60.63,Active,0.0449307,0.0531987,4011.8,0.08,0.026816,44033,38065,41827,42749,51.28847287,50.90924587,49.30056965,48.93604121,1,,1
330,0.06,0,NonL-TADs,328,2R,10158550,10191449,32900,26176,51.4,Null,0.0600265,0.0474721,3067.22,0.06,0.015084,858,758,904,847,2.001940633,2.090057892,1.592790213,1.66289834,1,,1
331,0.08,1,L-TADs,329,2R,10191450,10247349,55900,50972,61.33,Null,0.0659969,0.047943,5212.06,0.08,0.026816,3613,2842,3844,3994,4.106555456,4.804509277,3.744532106,4.380956116,1,1,
332,0.1,0,NonL-TADs,330,2R,10247350,10367449,120100,41845,79.14,PcG,0.060364,0.0551777,8953.06,0.1,0.0419,4913,4155,4786,5042,7.027179694,7.338326441,2.448395789,2.556804912,1,,1
333,0.11,0,NonL-TADs,331,2R,10367450,10511549,144100,129279,84.1,Active,0.0738694,0.0622996,15826.7,0.11,0.050699,18533,16550,19141,18545,8.799983529,9.108094151,7.894885986,8.171306757,1,,2
334,0.11,1,L-TADs,332,2R,10511550,10656849,145300,80546,84.33,Null,0.135887,0.0532514,9161.02,0.11,0.050699,9102,7811,8732,8637,6.809101233,6.737616521,3.774575829,3.734948798,2,1,
335,0.09,0,NonL-TADs,333,2R,10656850,10741749,84900,54764,70.5,PcG,0.109722,0.0576182,5929.58,0.09,0.033939,7356,6083,6590,6470,7.957651435,7.451152752,5.13301323,4.806300699,2,,2
336,0.05,0,NonL-TADs,334,2R,10741750,10758249,16500,14809,40.84,Active,0.135878,0.0543681,0,0.05,0.010475,4246,3482,4109,4009,16.92210947,17.12768888,15.18784964,15.37236028,2,,3
337,0.09,1,L-TADs,335,2R,10758250,10848949,90700,62803,72.07,Null,0.151557,0.0545225,7519.29,0.09,0.033939,6491,6017,6724,7067,6.458335508,6.861053728,4.471916702,4.750769099,2,1,
338,0.06,0,NonL-TADs,336,2R,10848950,10881249,32300,34849,51.08,Active,0.153958,0.0585485,2455.6,0.06,0.015084,2399,2061,2386,2554,4.150091368,4.429065266,4.477601674,4.778591191,2,,3
339,0.1,1,L-TADs,337,2R,10881250,10997549,116300,31159,78.3,Null,0.157914,0.0634864,5269.1,0.1,0.0419,0,0,0,0,0,0,0,0,3,1,
340,0.07,0,NonL-TADs,338,2R,10997550,11033449,35900,32058,52.92,Null,0.100105,0.0511631,2639.41,0.07,0.020531,1656,1601,1777,1830,3.29453749,3.515484353,2.941957739,3.139258981,2,,2
341,0.08,0,NonL-TADs,339,2R,11033450,11087249,53800,39398,60.55,Null,0.0677819,0.0501946,3598.66,0.08,0.026816,859,809,915,885,1.372887625,1.427492321,1.005372243,1.045359526,1,,2
342,0.1,0,NonL-TADs,340,2R,11087250,11196949,109700,88029,76.79,Null,0.0560774,0.0594766,6225.91,0.1,0.0419,8721,7798,8824,9148,6.08514743,6.378904395,4.883039591,5.118765497,1,,1
343,0.07,0,NonL-TADs,341,2R,11196950,11236249,39300,23707,54.54,PcG,0.0604028,0.0576791,3273.9,0.07,0.020531,7358,6970,8336,8460,19.5984666,22.13628399,11.82241342,13.35330495,1,,1
344,0.06,0,NonL-TADs,342,2R,11236250,11268449,32200,33076,51.03,Active,0.0712798,0.0553669,3308.81,0.06,0.015084,8580,6546,8329,8321,14.8294223,15.72811609,15.23285627,16.155999,1,,2
345,0.1,1,L-TADs,343,2R,11268450,11398949,130500,109177,81.36,Null,0.085914,0.0520404,9436.95,0.1,0.0419,32,22,29,42,0.01603894224,0.02031901467,0.01341826511,0.01699899666,1,1,
346,0.05,0,NonL-TADs,344,2R,11398950,11419349,20400,20346,43.83,Active,0.0703827,0.0521717,1526.41,0.05,0.010475,3376,2922,3624,3719,10.03775835,11.27638615,10.01118781,11.2465369,1,,2
347,0.07,0,NonL-TADs,345,2R,11419350,11461249,41900,31861,55.71,Active,0.0567582,0.0532106,4904.09,0.07,0.020531,9231,8649,8926,8881,18.19789822,17.46251562,13.83778604,13.2785969,1,,1
348,0.13,0,NonL-TADs,346,2R,11461250,11707449,246200,132003,100.54,Null,0.0374828,0.0445829,16751.2,0.13,0.070811,9039,7679,8757,9788,4.106895377,4.389534713,2.201959831,2.353500206,1,,1
349,0.06,0,NonL-TADs,347,2R,11707450,11736449,29000,16336,49.28,PcG,0.0481136,0.0472365,1343.12,0.06,0.015084,1396,1158,1393,1512,5.069770361,5.556174329,2.85585409,3.129850477,1,,1
350,0.09,0,NonL-TADs,348,2R,11736450,11820949,84500,74725,70.39,Null,0.0602032,0.0482286,8580.19,0.09,0.033939,14962,12758,14753,15604,12.02930183,12.69311978,10.6377465,11.22477368,1,,1
351,0.11,1,L-TADs,349,2R,11820950,11984449,163500,137816,87.71,Active,0.115023,0.0641213,22586.7,0.11,0.050699,35270,32827,33873,34728,16.02291242,15.55271656,13.50589417,13.10956077,2,1,
352,0.07,0,NonL-TADs,350,2R,11984450,12026249,41800,40277,55.67,Active,0.0840981,0.0638487,5995.84,0.07,0.020531,19389,18896,18019,19464,30.82369199,29.07720642,29.70061824,28.01776658,1,,2
353,0.07,0,NonL-TADs,351,2R,12026250,12067749,41500,30414,55.54,Active,0.073914,0.0625596,5541.21,0.07,0.020531,11279,10639,11390,11689,23.36902003,23.70930902,17.12639459,17.37578131,1,,2
354,0.06,0,NonL-TADs,352,2R,12067750,12091749,24000,35731,46.27,Active,0.0751269,0.05825,2762.93,0.06,0.015084,11681,9622,11546,11586,19.33342137,20.22755843,28.78343662,30.11462042,1,,2
355,0.05,0,NonL-TADs,353,2R,12091750,12107949,16200,288,40.59,Null,0.0833727,0.0533336,3031.6,0.05,0.010475,0,0,2,3,0,0.5424415748,0,0.009643405775,1,,2
356,0.1,1,L-TADs,354,2R,12107950,12224649,116700,90847,78.39,Active,0.102572,0.0583464,15671.6,0.1,0.0419,19688,17525,19273,19930,13.2830318,13.4829264,10.34039066,10.49600184,2,1,
357,0.04,0,NonL-TADs,355,2R,12224650,12235649,11000,6854,35.67,Active,0.080024,0.0452481,0,0.04,0.006704,2447,2067,2228,2269,21.35652432,20.50001784,13.30705615,12.77337475,1,,2
358,0.12,0,NonL-TADs,356,2R,12235650,12458349,222700,127625,97.23,Null,0.0442653,0.0391959,14238.9,0.12,0.060336,18905,17237,18728,17992,9.183104922,8.989641423,5.262657232,5.151787097,1,,1
359,0.13,0,NonL-TADs,357,2R,12458350,12738149,279800,196830,104.92,Null,0.0349082,0.0362202,18158.5,0.13,0.070811,63636,59721,59926,59172,20.32289748,18.90552002,14.29648289,13.29940495,1,,1
360,0.05,0,NonL-TADs,358,2R,12738150,12756949,18800,13694,42.65,Active,0.0533916,0.0381169,1411.89,0.05,0.010475,28587,26320,29607,28922,130.0201048,133.5414944,94.70719763,97.27219282,1,,1
361,0.1,1,L-TADs,359,2R,12756950,12891949,135000,98003,82.29,Null,0.063489,0.0388623,10064.8,0.1,0.0419,6755,5932,6847,6749,4.197905806,4.334582141,3.047461946,3.146681878,1,1,
362,0.09,0,NonL-TADs,360,2R,12891950,12986249,94300,85302,73.01,Active,0.0474266,0.0460474,11164.1,0.09,0.033939,21390,17207,21315,22026,14.67261277,15.87505232,13.27256855,14.36027267,1,,1
363,0.13,0,NonL-TADs,361,2R,12986250,13281149,294900,138074,106.77,Null,0.0278961,0.0397759,18240.9,0.13,0.070811,493,400,509,560,0.2097261924,0.2419029977,0.09819509763,0.1132604765,1,,1
364,0.08,0,NonL-TADs,362,2R,13281150,13346249,65100,64676,64.53,Active,0.0358462,0.0509023,7283.05,0.08,0.026816,19788,17392,19139,20308,18.64143552,19.05663779,18.52002279,18.93252082,1,,1
365,0.1,0,NonL-TADs,363,2R,13346250,13480349,134100,123275,82.1,Active,0.0513157,0.0572207,21300.2,0.1,0.0419,79501,72678,77018,80567,40.03066775,39.9406673,36.79925852,36.7165232,1,,1
366,0.08,1,L-TADs,364,2R,13480350,13551949,71600,48663,66.61,Null,0.0638352,0.0517222,7538.43,0.08,0.026816,52,47,40,45,0.06597044833,0.0545752204,0.04483687049,0.03709209428,1,1,
367,0.07,0,NonL-TADs,365,2R,13551950,13587049,35100,37128,52.52,Active,0.0614957,0.0546248,5689.29,0.07,0.020531,20608,17905,19861,20422,33.63712849,33.89968811,35.58060702,35.85833675,1,,1
368,0.09,0,NonL-TADs,366,2R,13587050,13682149,95100,96490,73.22,Active,0.0546461,0.0555478,14059.3,0.09,0.033939,19556,17541,19366,19896,12.46721944,12.71351278,12.64944273,12.89933594,1,,1
369,0.08,0,NonL-TADs,367,2R,13682150,13737049,54900,57709,60.96,PcG,0.067234,0.0566792,4367.48,0.08,0.026816,2175,1809,2196,2349,2.238663925,2.460740348,2.353206857,2.586645988,1,,2
370,0.06,1,L-TADs,368,2R,13737050,13758949,21900,11725,44.88,Active,0.0676515,0.0508139,2676.69,0.06,0.015084,4981,3901,4809,4310,24.56467583,24.3001982,13.15163581,13.01003762,1,1,
371,0.13,0,NonL-TADs,369,2R,13758950,14013949,255000,161431,101.72,Null,0.0583786,0.0418099,15618.1,0.13,0.070811,5648,4332,5992,6041,2.004733853,2.328962154,1.269122316,1.474379174,1,,1
372,0.08,0,NonL-TADs,370,2R,14013950,14072049,58100,57398,62.13,Active,0.0794273,0.0405615,6115.34,0.08,0.026816,56447,49635,60008,58496,59.93190177,64.50772138,59.2077676,63.72829934,1,,2
373,0.12,2,L-TADs,371,2R,14072050,14285249,213200,39894,95.83,Null,0.147065,0.0379702,14670.6,0.12,0.060336,5015,3443,4666,4744,6.875008151,7.369830366,1.286452041,1.379043211,2,1,
374,0.05,0,NonL-TADs,372,2R,14285250,14299849,14600,19762,39.2,Active,0.127153,0.0405747,0,0.05,0.010475,29677,26484,28631,29194,92.15460823,91.42399565,124.736943,123.7480138,2,,3
375,0.06,0,NonL-TADs,373,2R,14299850,14332749,32900,23260,51.4,Active,0.130074,0.0411851,3781.78,0.06,0.015084,8752,8638,9647,9555,24.24392833,25.7936146,17.14023626,18.23585033,2,,3
376,0.1,1,L-TADs,374,2R,14332750,14440249,107500,86018,76.27,Null,0.142364,0.0352633,10189.4,0.1,0.0419,10512,9387,9184,9390,7.50161949,6.746702378,6.002551677,5.398491582,2,1,
377,0.08,0,NonL-TADs,375,2R,14440250,14499849,59600,57637,62.66,Null,0.104391,0.0342922,3186.5,0.08,0.026816,443,343,463,480,0.4422158435,0.5111940339,0.4276509156,0.4943572237,2,,2
378,0.06,0,NonL-TADs,376,2R,14499850,14526649,26800,25417,48,Active,0.0994457,0.0382256,2960.99,0.06,0.015084,12241,10664,11617,12101,29.22261841,29.15608632,27.71460045,27.65150172,2,,2
