bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Genomic length of genes,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
42,0.11,0,NonL-TADs,43,2L,3657550,3812649,155100,104975,86.18,PcG,0.194521,0.045935,7008.66,0.11,0.050699,2957,2725,2803,3122,1.7552075,1.763509985,1.187962007,1.193581307,3,,4
43,0.14,1,L-TADs,44,2L,3812650,4183449,370800,180759,115.24,Null,0.420251,0.0447909,13254.2,0.14,0.082124,2357,1977,2215,2314,0.7775030419,0.7828487135,0.379020152,0.3816260804,5,3,
44,0.05,0,NonL-TADs,45,2L,4183450,4197949,14500,11270,39.11,Null,0.306462,0.0447365,0,0.05,0.010475,1351,1365,1307,1354,7.814819823,7.377282428,6.074001338,5.73392917,4,,5
45,0.06,0,NonL-TADs,46,2L,4197950,4227949,30000,22821,49.84,Active,0.307835,0.0512986,1835.65,0.06,0.015084,26677,26061,25942,27125,74.93800115,72.65496824,57.00533748,55.26863434,4,,5
46,0.1,1,L-TADs,47,2L,4227950,4333549,105600,47371,75.82,Null,0.347349,0.0493249,5325.15,0.1,0.0419,24,8,21,16,0.02190536759,0.02440420266,0.009826507275,0.01094745724,4,2,
47,0.1,0,NonL-TADs,48,2L,4333550,4440549,107000,57172,76.15,Null,0.214563,0.0458337,8016.88,0.1,0.0419,5610,5072,5950,6148,6.058739896,6.611585929,3.237292312,3.532687764,3,,4
48,0.05,0,NonL-TADs,49,2L,4440550,4460349,19800,17818,43.39,Active,0.203356,0.0448986,1232.38,0.05,0.010475,44644,43729,42312,43558,160.8324818,150.5767641,144.7329879,135.5038779,3,,4
49,0.14,1,L-TADs,50,2L,4460350,4793449,333100,232326,111.19,Null,0.299517,0.0565848,14154.3,0.14,0.082124,1183,1034,1193,1241,0.3094432387,0.3273393459,0.215826208,0.2283081384,4,2,
50,0.05,0,NonL-TADs,51,2L,4793450,4811949,18500,7368,42.42,PcG,0.149322,0.0591756,1076.97,0.05,0.010475,199,160,162,188,1.580003145,1.48420496,0.6292682794,0.5911147107,2,,3
51,0.07,0,NonL-TADs,52,2L,4811950,4849149,37200,29694,53.55,Active,0.123069,0.0642236,3973,0.07,0.020531,4039,3428,3968,4378,8.154372884,8.781832063,6.509030872,7.009884981,2,,2
52,0.1,0,NonL-TADs,53,2L,4849150,4973049,123900,111656,79.97,Active,0.0965932,0.0707795,16210,0.1,0.0419,13228,13159,13519,14131,7.663392533,7.737283708,6.906083589,6.972672718,2,,2
53,0.07,0,NonL-TADs,54,2L,4973050,5010349,37300,35896,53.59,Active,0.0938886,0.0680154,5809.06,0.07,0.020531,9849,8820,9361,9433,16.86506887,16.35869358,16.23025502,15.74294007,2,,2
54,0.07,0,NonL-TADs,55,2L,5010350,5054349,44000,49151,56.63,Active,0.107721,0.0680096,4990.46,0.07,0.020531,15609,12369,15669,15468,18.45854342,19.79337533,20.61945154,22.11054979,2,,2
55,0.07,0,NonL-TADs,56,2L,5054350,5100249,45900,41842,57.43,Active,0.138073,0.0666711,7154.8,0.07,0.020531,30300,26009,29850,29403,43.63937273,44.24593328,39.78123386,40.33416864,2,,3
56,0.11,1,L-TADs,57,2L,5100250,5270649,170400,168524,88.93,Null,0.21451,0.0655257,14547.6,0.11,0.050699,6253,4752,7468,7084,2.117587711,2.697965419,2.094274363,2.668262467,3,1,
57,0.08,0,NonL-TADs,58,2L,5270650,5325149,54500,33600,60.82,Active,0.178668,0.0664826,5231.3,0.08,0.026816,3551,2264,3772,4047,5.612076231,7.270886869,3.459922227,4.482601813,3,,3
58,0.12,1,L-TADs,59,2L,5325150,5516149,191000,63073,92.38,PcG,0.233481,0.0700682,11260.9,0.12,0.060336,2064,2329,2422,2503,2.258555853,2.439709954,0.7458319022,0.805653539,3,1,
